"Location","Pallet number","Item","Description","Lot code","Expiry date","Inventory status","Cases qty","Cases UOM","Base qty","Base UOM"
"10-056-50","50040085A","GCC6007","HSC MED SUB DSPLY XMS16 150ct","177358","30/05/2049","Good","100.00","cs","100.00","ea"
"10-056-50","50013888","GCC102146","SUB LG DSC LE Holiday NFPW","175999","30/05/2049","Good","16000.00","cs","16000.00","ea"
"10-058-20","50002886","GCC101410","SUB LG PepBrk Snowmn NFPW","128114","29/04/2049","Good","16000.00","cs","16000.00","ea"
"10-060-10","50013619","GCC4736","PDQ Med SUB Stand Up 12ct SPR","155564","30/11/2047","Good","129.00","cs","129.00","ea"
"10-060-10","50013618","GCCS-4235","Uline Case 16x12x8","164639","30/06/2048","Good","141.00","cs","141.00","ea"
"10-060-20","50013610","GCC4738","TRAY PL 46 x 40.5 x 2.5 Red","149509","30/09/2048","Good","30.00","cs","30.00","ea"
"10-060-20","50039513","GCC101352","SUB LG Classic XMS18 NFPW","26455","29/10/2048","Good","32.00","cs","32.00","ea"
"10-060-20","50013608","GCC101441","Shipper MED SUB optmized XMAS","163071","26/12/2048","Good","100.00","cs","100.00","ea"
"10-060-40","50008982","GCC5558","SUB XL DK ASST FDM","122136","29/09/2048","Good","637.00","cs","637.00","ea"
"10-060-50","50013592","GCC101107","Coupon Pad $1 Choc Covered","153210","31/12/2047","Good","7.00","cs","7.00","ea"
"10-060-50","50040086","GCC4408N","GIFT BOX $5 EDAY","168038","31/10/2048","Good","1797.00","cs","1797.00","ea"
"10-062-30","50037452","GCC101410","SUB LG PepBrk Snowmn NFPW","128114","29/04/2049","Good","16000.00","cs","16000.00","ea"
"10-064-10","50013621","GCC101459","PDQ Sams 10ct XLC SUB XMAS18","165176","30/10/2048","Good","293.00","cs","293.00","ea"
"10-064-10","50013620","GCC101494","SUB XL FDM Classic NFP","126264","30/11/2048","Good","5200.00","cs","5200.00","ea"
"10-064-10","50037973","GCC101534","SUB LG DSC ID SS Soiree 2018","127678","15/02/2049","Good","5500.00","cs","5500.00","ea"
"10-064-20","50013611","GCC5746","SHELF Bkg DSPLY vert","147748","30/06/2048","Good","591.00","cs","591.00","ea"
"10-064-30","50013603","GCC100425","RSC 6ct Minis XL SUB","161393","10/05/2048","Good","90.00","cs","90.00","ea"
"10-064-30","50013604","GCC101603","Caddy 50ct DK MNT NFP","173556","30/03/2049","Good","1440.00","cs","1440.00","ea"
"10-064-40","50013593","GCC4943","PDQ XSML XMAS 24ct Perf Rev","160788","31/03/2048","Good","750.00","cs","750.00","ea"
"10-064-50","50040089","GCC2799","CASE INSERT 12ct XXL SUB","10541","29/09/2047","Good","1200.00","cs","1200.00","ea"
"10-066-10","50035889","GCC5558","SUB XL DK ASST FDM","123372","31/12/2048","Good","1085.00","cs","1085.00","ea"
"10-066-20","50003910","GCC101184","Shipper Med Optimized Dsply","157748","29/10/2048","Good","82.00","cs","82.00","ea"
"10-066-50","50040090","GCC101289","Base Setup Box XMAS18","9746","13/07/2048","Good","340.00","cs","340.00","ea"
"10-066-50","50040092","GCC101289","Base Setup Box XMAS18","9746","13/07/2048","Good","340.00","cs","340.00","ea"
"10-068-10","50035883","GCC5558","SUB XL DK ASST FDM","123372","31/12/2046","Good","1316.00","cs","1316.00","ea"
"10-068-10","50013622","GCCS-4149","Uline Case 14x10x12","164649","30/06/2048","Good","6.00","cs","6.00","ea"
"10-068-10","50013624","GCC101459","PDQ Sams 10ct XLC SUB XMAS18","165176","30/09/2048","Good","103.00","cs","103.00","ea"
"10-068-20","50013613","GCC6007","HSC MED SUB DSPLY XMS16 150ct","177358","30/05/2049","Good","100.00","cs","100.00","ea"
"10-068-20","50013614","GCC6007","HSC MED SUB DSPLY XMS16 150ct","177358","30/05/2049","Good","100.00","cs","100.00","ea"
"10-068-40","50013596","GCC100106","POUCH MK SS Almond CvrCh","144127","27/02/2047","Good","28.00","cs","28.00","ea"
"10-068-40","50013594","GCC100215","Base 45ct Mixed XL display","176272","29/04/2049","Good","150.00","cs","150.00","ea"
"10-068-40","50013595","GCC100215","Base 45ct Mixed XL display","176272","29/04/2049","Good","150.00","cs","150.00","ea"
"10-068-50","50040098","GCC101998","PL CAP XL/XXL Club Case 2018","175197","30/05/2049","Good","350.00","cs","350.00","ea"
"10-070-20","50006422","GCC101708","SUB XL-C GOld Bag NFPW","127901","30/03/2049","Good","12000.00","cs","12000.00","ea"
"10-070-20","50006423","GCC101708","SUB XL-C GOld Bag NFPW","127901","30/03/2049","Good","12000.00","cs","12000.00","ea"
"10-072-10","50013623","GCC3963","HSC 12oz Chip 18ct","50444","05/07/2020","Good","525.00","cs","525.00","ea"
"10-072-10","50006336","GCC101345","SUB LG Ltd Ed XMS18 NFPW","123838","29/06/2048","Good","4800.00","cs","4800.00","ea"
"10-072-20","50013615","GCC3390","PALLET SKIRT QTRPL XMS12","160841","29/04/2048","Good","85.00","cs","85.00","ea"
"10-072-20","50013616","GCC101767","Header 72ct Counter DSP XMAS18","163898","30/06/2048","Good","524.00","cs","524.00","ea"
"10-072-30","50013606","GCC102064","Header 72ct Med SUB MXDSmrs19","176254","08/04/2019","Good","645.00","cs","645.00","ea"
"10-072-40","50013597","GCC101589","Tray Top QTRPL Vday 19","164150","30/07/2048","Good","300.00","cs","300.00","ea"
"10-074-10","60063408","GCC3273","TRAY LG SUB SHPR Litho XMS","177417","30/06/2049","Good","600.00","cs","600.00","ea"
"10-074-50","50040093","GCC101600","SUB LG DSC DK SS Car 2018 NFPW","127319","30/03/2049","Good","23.00","cs","23.00","ea"
"10-074-50","50040094","GCC101600","SUB LG DSC DK SS Car 2018 NFPW","127319","31/03/2049","Good","17.00","cs","17.00","ea"
"10-076-20","50035943","GCC101886","SUB XL FDM DK ASST NFPW","127594","31/07/2048","Good","9000.00","cs","9000.00","ea"
"10-076-30","50013607","GCC101289","Base Setup Box XMAS18","163189","26/12/2047","Good","340.00","cs","340.00","ea"
"10-076-50","50013644","GCC100571","Insert 7ct Hex Box","160835","30/04/2048","Good","1440.00","cs","1440.00","ea"
"10-078-10","50013625","GCC6028","RSC TWN SUB 12ct XMS","168273","30/10/2048","Good","625.00","cs","625.00","ea"
"10-078-10","50013626","GCC6028","RSC TWN SUB 12ct XMS","168273","30/10/2048","Good","625.00","cs","625.00","ea"
"10-078-10","50039831","GCC3138","RSC TWN SUB 12ct","99999","31/05/2049","Good","6.00","cs","6.00","ea"
"10-078-10","50039831A","GCC6028","RSC TWN SUB 12ct XMS","99999","31/05/2049","Good","134.00","cs","134.00","ea"
"10-078-10","50039831B","GCC101252","RSC 6ct Impulse","99999","31/05/2049","Good","1.00","cs","1.00","ea"
"10-078-30","119800001628507","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-078-40","60060890","GCC8285","Crnrbrd 40.25 x 2.5 x 2.5","158870","28/02/2048","Good","1474.00","cs","1474.00","ea"
"10-080-10","50017887","GCC101504","PDQ SRC 5ct LG SUB AutoBTM","168777","31/05/2048","Good","609.00","cs","609.00","ea"
"10-080-20","50064252","GCC101567","RSC new LG DSC 12ct ED","174117","30/03/2049","Good","494.00","cs","494.00","ea"
"10-080-20","50064253","GCC101567","RSC new LG DSC 12ct ED","174117","31/03/2049","Good","450.00","cs","450.00","ea"
"10-080-40","50013653","GCC6007","HSC MED SUB DSPLY XMS16 150ct","177358","30/05/2049","Good","20.00","cs","20.00","ea"
"10-080-50","50013645","GCCS-4735","Uline Case 22x18x6","164651","29/06/2048","Good","240.00","cs","240.00","ea"
"10-080-50","50013646","GCCS-4735","Uline Case 22x18x6","164651","29/06/2048","Good","240.00","cs","240.00","ea"
"10-082-10","50039868","GCC100612","HSC 2x6 Med Sub Xmas","99999","31/05/2049","Good","102.00","cs","102.00","ea"
"10-082-10","50039869","GCC100612","HSC 2x6 Med Sub Xmas","99999","31/05/2049","Good","525.00","cs","525.00","ea"
"10-082-30","50013671","GCC101156","SHELF mini optimized display","99999","31/05/2049","Good","55.00","cs","55.00","ea"
"10-082-30","119800001628510","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-082-30","119800001628511","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-084-10","50039832","GCC3811","COLUMN ED SUB QTRPL","161381","31/05/2049","Good","24.00","cs","24.00","ea"
"10-084-20","50013825","GCC100313","SUB XL Minis Assorted ED","127853","28/02/2049","Good","12000.00","cs","12000.00","ea"
"10-084-30","50013685","GCC3393","TRAY TOP QTRPL XMS12","163027","30/05/2048","Good","128.00","cs","128.00","ea"
"10-084-30","119800001628512","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-084-30","119800001628513","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-084-50","50013649","GCC5750","RSC Bkg DSPLY vert","147751","31/10/2048","Good","55.00","cs","55.00","ea"
"10-086-10","119800001628514","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-086-10","119800001628515","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-086-20","50013699","GCC101352","SUB LG Classic XMS18 NFPW","125490","19/07/2048","Good","16000.00","cs","16000.00","ea"
"10-086-20","50013706","GCC101352","SUB LG Classic XMS18 NFPW","125490","20/07/2048","Good","4000.00","cs","4000.00","ea"
"10-086-40","50013664","GCC101156","SHELF mini optimized display","166754","30/08/2048","Good","489.00","cs","489.00","ea"
"10-086-50","50035582","GCC101635","SUB Med DK SS Car NFPW","127884","30/03/2049","Good","45.00","cs","27000.00","ea"
"10-088-30","50013687","GCC101504","PDQ SRC 5ct LG SUB AutoBTM","168777","31/05/2048","Good","115.00","cs","115.00","ea"
"10-088-30","119800001628516","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-088-30","119800001628517","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-090-10","50060237","GCC102064","Header 72ct Med SUB MXDSmrs19","176254","29/04/2049","Good","100.00","cs","100.00","ea"
"10-090-20","50039939","GCC6033","SUB XL-C Car DUO BJs","119644","30/11/2048","Good","12000.00","cs","12000.00","ea"
"10-090-20","50039940","GCC6033","SUB XL-C Car DUO BJs","119644","30/11/2048","Good","12000.00","cs","12000.00","ea"
"10-090-30","60061850","GCC101699","SUB XL Classif FDM NFP","127930","31/03/2049","Good","8453.00","cs","8453.00","ea"
"10-090-40","50013666","GCC100732","SUB XL Minis Assorted Club","127843","28/02/2049","Good","6730.00","cs","6730.00","ea"
"10-092-10","50006334","GCC5888","SUB LG Dk Pbk DSC","115931","30/08/2048","Good","1859.00","cs","1859.00","ea"
"10-092-10","50039837","GCC100106","POUCH MK SS Almond CvrCh","29254","31/05/2049","Good","4620.00","cs","4620.00","ea"
"10-092-20","50010855","GCC101423","CPN Pad ED QtrPal 2018 EXP4/30","170256","29/10/2048","Good","1000.00","cs","1000.00","ea"
"10-092-20","50014793","GCC101329","SUB Med ID 92%","128661","29/04/2049","Good","29250.00","cs","29250.00","ea"
"10-092-30","50013689","GCC101699","SUB XL Classif FDM NFP","173882","25/02/2019","CAI","12000.00","cs","12000.00","ea"
"10-092-40","50035850","GCC101371","SUB MED ID Duo XMAS18 NFPW","124965","25/08/2048","Good","12021.00","cs","12021.00","ea"
"10-092-40","50013668","GCC101699","SUB XL Classif FDM NFP","127877","31/05/2049","CAI","12000.00","cs","12000.00","ea"
"10-092-50","50013647","GCC101323","SDK 72ct Bars ID 92%","163985","29/10/2048","Good","210.00","cs","210.00","ea"
"10-094-10","50039838","GCC100852","SUB LG Dk Choc SS Caramel","124579","31/05/2048","Good","8.00","cs","4400.00","ea"
"10-094-40","50013667","GCC101699","SUB XL Classif FDM NFP","127877","30/03/2049","CAI","12000.00","cs","12000.00","ea"
"10-096-30","50015754","GCC102316","SUB-200 DK Pep Bark NFPW","174861","29/04/2049","Good","3600.00","cs","3600.00","ea"
"10-096-30","50003357","GCC5890","SUB LG ID Asst DSC","115438","31/05/2049","Good","8744.00","cs","8744.00","ea"
"10-096-50","50013652","GCC100970","PDQ 18ct SUB Bunny Egg Asst 18","171177","30/11/2048","Good","109.00","cs","109.00","ea"
"10-098-30","50010825","GCC101708","SUB XL-C GOld Bag NFPW","127901","30/03/2049","Good","12000.00","cs","12000.00","ea"
"10-098-30","50010834","GCC100466","SUB Med minis Winter White","119949","31/05/2049","Good","1357.00","cs","1357.00","ea"
"10-098-40","119800001628518","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-098-50","50035851","GCC3451","LBL Generic Pallet 4 x6","168644","30/10/2048","Good","10000.00","cs","10000.00","ea"
"10-100-10","50039822","GCC101871","PDQ MED SUB 24ct ED bakerydept","166675","31/05/2049","Good","82.00","cs","82.00","ea"
"10-100-20","50039867","GCC100851","HSC 24ct XSML XMAS17 WM","99999","31/05/2049","Good","240.00","cs","240.00","ea"
"10-100-40","119800001628519","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-100-50","50016960","GCC101323","SDK 72ct Bars ID 92%","163985","30/06/2048","Good","33.00","cs","33.00","ea"
"10-104-10","50017716","GCC100213","Insert 45ct Mixed XL Display","164592","30/06/2048","Good","36.00","cs","36.00","ea"
"10-104-10","50039823","GCC100956","Filler Insert 72ct counter dis","168768","30/09/2048","Good","770.00","cs","770.00","ea"
"10-104-20","50039865","GCC100842","PDQ 10ct LG SUB XMAS","38477","31/12/2048","Good","300.00","cs","300.00","ea"
"10-104-30","50032015","GCC102120","SUB LG DK SSCar Snwmn XMAS19","128376","30/06/2049","Good","16000.00","cs","16000.00","ea"
"10-104-30","50032014","GCC102120","SUB LG DK SSCar Snwmn XMAS19","128376","30/06/2049","Good","12500.00","cs","12500.00","ea"
"10-104-40","50039848","GCC100843","HSC 10ct LG SUB XMAS","29976","31/05/2049","Good","840.00","cs","840.00","ea"
"10-104-40","50039849","GCC100843","HSC 10ct LG SUB XMAS","29976","31/05/2049","Good","840.00","cs","840.00","ea"
"10-104-50","50039847","GCC2258","FILLER BACK CDY QTRPL XMS10","21692","29/04/2048","Good","1400.00","cs","1400.00","ea"
"10-106-10","50006292","GCC101623","Gift Box $5 EDAY NFP","176298","29/04/2049","Good","3000.00","cs","3000.00","ea"
"10-106-10","50006293","GCC101623","Gift Box $5 EDAY NFP","176298","29/04/2049","Good","1000.00","cs","1000.00","ea"
"10-106-10","50013711","GCC8285","Crnrbrd 40.25 x 2.5 x 2.5","158870","31/05/2049","Good","984.00","cs","984.00","ea"
"10-106-20","50039864","GCC100953","Shell 72ct counter display","30055","31/05/2049","Good","10.00","cs","10.00","ea"
"10-106-40","50039850","GCC3274","HSC BASE DSPLY XMS","63868","31/05/2049","Good","86.00","cs","86.00","ea"
"10-106-40","50039851","GCC3274","HSC BASE DSPLY XMS","163868","31/05/2049","Good","90.00","cs","90.00","ea"
"10-108-10","50039824","GCC8285","Crnrbrd 40.25 x 2.5 x 2.5","158870","31/05/2049","Good","1153.00","cs","1153.00","ea"
"10-108-10","50039825","GCC8285","Crnrbrd 40.25 x 2.5 x 2.5","158870","31/05/2049","Good","712.00","cs","712.00","ea"
"10-108-20","50010792","GCCS-4643","Uline Case 20x16x8","177055","29/04/2049","Good","250.00","cs","250.00","ea"
"10-108-20","50010793","GCCS-4643","Uline Case 20x16x8","177055","29/04/2049","Good","250.00","cs","250.00","ea"
"10-108-50","50013703","GCC3393","TRAY TOP QTRPL XMS12","150157","31/07/2048","Good","96.00","cs","96.00","ea"
"10-110-10","50035884","GCC101973","1000/80ct SFO Lbl NGM18","176031","30/05/2049","Good","0.00","cs","3.00","ea"
"10-110-20","50039862","GCC4513","TRAY Top ED SUB QTRPL Blue","99999","31/05/2049","Good","54.00","cs","54.00","ea"
"10-110-30","50039887","GCC101887","SUB XL FDM Caramel DUO NFP","127879","30/03/2049","Good","30.00","cs","12000.00","ea"
"10-110-30","50039888","GCC101887","SUB XL FDM Caramel DUO NFP","127879","30/03/2049","Good","30.00","cs","12000.00","ea"
"10-110-40","50039852","GCC3138","RSC TWN SUB 12ct","164002","23/08/2048","Good","435.00","cs","435.00","ea"
"10-110-50","50013701","GCC5746","SHELF Bkg DSPLY vert","172472","31/12/2048","Good","160.00","cs","160.00","ea"
"10-112-20","50032028","GCC102231","SUB-400 Mk Car XMAS19 NFPW","128197","30/06/2049","Good","3000.00","cs","3000.00","ea"
"10-114-10","60060788","GCC84857","LG clear cello bag (1000/cs)","163592","31/08/2047","Good","1000.00","cs","1000.00","ea"
"10-114-20","60062022","GCCS-4924","Uline Case 13x7x7","177856","30/04/2049","Good","316.00","cs","316.00","ea"
"10-114-40","119800001628552","GCC102355","SUB-400 PBK XMAS19","128126","30/06/2049","Quarantined","32.00","cs","16000.00","ea"
"10-114-40","119800001628553","GCC102355","SUB-400 PBK XMAS19","128126","30/06/2049","Quarantined","32.00","cs","16000.00","ea"
"10-114-50","50032064","GCC5163","TRAY THERMOFORMED LID TRAY","176604","30/06/2049","Good","18000.00","cs","18000.00","ea"
"10-116-10","50010800","GCC100221","SUB Med Milk Solid Flat Back","117849","30/11/2048","Good","1300.00","cs","1300.00","ea"
"10-116-10","50039830","GCC8219","Crnrbrd 32.8125 x 2.5 x 2.5","99999","31/05/2049","Good","66.00","cs","66.00","ea"
"10-116-30","60060841","GCC101170","Pad med maxi optimized display","157748","30/01/2048","Good","2856.00","cs","2856.00","ea"
"10-116-40","50039855","GCC101866","Bottom Cvr 88ct Easter 2019","169664","31/05/2049","Good","984.00","cs","984.00","ea"
"10-118-10","50039808","GCC3487","RIBBON CSO Thermal Transfer","176064","30/03/2049","Good","51.00","cs","51.00","ea"
"10-118-40","50032127","GCC102535","Tray 14ct SUB-710 PBColl XMS19","177694","30/06/2049","Good","225.00","cs","225.00","ea"
"10-118-40","50032128","GCC102535","Tray 14ct SUB-710 PBColl XMS19","177694","30/06/2049","Good","225.00","cs","225.00","ea"
"10-118-50","50038112","GCC100215","Base 45ct Mixed XL display","176272","29/04/2049","Good","150.00","cs","150.00","ea"
"10-118-50","50038113","GCC100215","Base 45ct Mixed XL display","176272","29/04/2049","Good","150.00","cs","150.00","ea"
"10-120-10","50010815","GCC100483","SUB Med Milk Snowman","120659","29/06/2047","Good","13000.00","cs","13000.00","ea"
"10-120-20","50032016","GCC102231","SUB-400 Mk Car XMAS19 NFPW","128197","30/06/2049","Good","16000.00","cs","16000.00","ea"
"10-120-20","50032017","GCC102231","SUB-400 Mk Car XMAS19 NFPW","128197","30/06/2049","Good","16000.00","cs","16000.00","ea"
"10-120-40","50013640","GCC100424","RSC 6ct Minis Med SUB","122031","28/02/2019","Good","396.00","cs","396.00","ea"
"10-122-10","50008942","GCC100484","SUB Med Milk Caramel Snowman","120172","30/07/2047","Good","250.00","cs","250.00","ea"
"10-122-30","50013661","GCC100588","Skirt PL chips full pallet","167982","30/09/2048","Good","22.00","cs","22.00","ea"
"10-122-40","50013630","GCC101412","PDQ 10ct LG SUB XMAS18 WM","164636","30/11/2048","Good","1100.00","cs","1100.00","ea"
"10-122-50","50010269","GCC100611","PDQ 2x6 Med Sub XMAS","251980","31/10/2048","Good","780.00","cs","780.00","ea"
"10-124-20","50013678","GCC101554","PDQ MED SUB 24ct ED","161824","30/04/2048","Good","29.00","cs","29.00","ea"
"10-124-30","50013662","GCC100854","SUB LG 72% ID","128398","30/04/2049","Good","1650.00","cs","1650.00","ea"
"10-124-50","50010270","GCCS-4235","Uline Case 16x12x8","99999","23/05/2019","Good","166.00","cs","166.00","ea"
"10-126-30","50013638","GCC4443","HSC XSML 24ct XMS Auto","164055","30/04/2048","Good","647.00","cs","647.00","ea"
"10-128-10","50039812","GCC3731","TAPE Machine","544956","31/05/2049","Good","26.00","cs","26.00","ea"
"10-128-30","50013637","GCCS-4735","Uline Case 22x18x6","164651","30/06/2048","Good","240.00","cs","240.00","ea"
"10-128-50","50010272","GCC101423","CPN Pad ED QtrPal 2018 EXP4/30","99999","29/12/2018","Good","4.00","cs","4.00","ea"
"10-130-10","50039813","GCC3731","TAPE Machine","99999","31/05/2049","Good","46.00","cs","46.00","ea"
"10-130-20","50003350","GCCS-4235","Uline Case 16x12x8","164599","30/06/2048","Good","88.00","cs","88.00","ea"
"10-130-20","60060787","GCCS-4235","Uline Case 16x12x8","164634","29/06/2048","Good","424.00","cs","424.00","ea"
"10-130-30","50013660","GCC6007","HSC MED SUB DSPLY XMS16 150ct","163867","29/06/2048","Good","100.00","cs","100.00","ea"
"10-130-40","50013657","GCC100173","Filler prestige bar 2 face SDK","99999","23/05/2019","Good","513.00","cs","513.00","ea"
"10-132-10","50039814","GCC8219","Crnrbrd 32.8125 x 2.5 x 2.5","99999","31/05/2049","Good","1099.00","cs","1099.00","ea"
"10-132-10","50039815","GCC8219","Crnrbrd 32.8125 x 2.5 x 2.5","99999","31/05/2049","Good","352.00","cs","352.00","ea"
"10-132-40","50032074","GCC101511","Gift Box $7 PB XMS18 NFP","177428","30/06/2049","Good","3960.00","cs","3960.00","ea"
"10-132-40","50032075","GCC101511","Gift Box $7 PB XMS18 NFP","177428","30/06/2049","Good","9180.00","cs","9180.00","ea"
"10-132-50","50013627","GCC101504","PDQ SRC 5ct LG SUB AutoBTM","168777","31/05/2048","Good","4.00","cs","4.00","ea"
"10-134-10","50039816","GCC3451","LBL Generic Pallet 4 x6","99999","31/05/2049","Good","180000.00","cs","180000.00","ea"
"10-134-40","50003300","GCC102307","SUB TWN ID 72% NFPW","173890","30/05/2049","Quarantined","27000.00","cs","27000.00","ea"
"10-136-40","60062082","GCC101323","SDK 72ct Bars ID 92%","159244","06/02/2048","Good","159.00","cs","159.00","ea"
"10-136-50","50013629","GCC101602","Caddy 50ct DK SS Car NFP","174118","28/02/2049","Good","334.00","cs","334.00","ea"
"10-138-20","50038088","GCC4330","PL CAP XL/XXL SUB Club","161690","31/07/2048","Good","245.00","cs","245.00","ea"
"10-138-20","60060136","GCC101350","Shipper 192ct Impulse SDk","11111","30/10/2048","Good","41.00","cs","41.00","ea"
"10-138-30","60062081","GCC102378","CPN PAD Bars $1OFF exp12/31/19","99999","31/05/2049","Good","8314.00","cs","8314.00","ea"
"10-140-10","50039799","GCC101248","Header 32ct Sauce Display 2019","99999","31/05/2049","Good","160.00","cs","160.00","ea"
"10-140-20","50038087","GCC100160","PDQ Semi Sweet Chip 18ct WM","51357","30/04/2049","Good","1020.00","cs","1020.00","ea"
"10-140-40","60060331","GCC101633","SUB Med MK Car NFPW","127136","30/01/2049","Good","36.00","cs","21600.00","ea"
"10-142-20","119800001628520","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-142-20","119800001628521","GCC100612","HSC 2x6 Med Sub Xmas","283701","30/06/2049","Good","600.00","cs","600.00","ea"
"10-142-30","60062080","GCC2561","SIDEKICK Filler Int Dk Bar","176310","30/04/2049","Good","87.00","cs","87.00","ea"
"10-142-50","60064198","GCCS-4735","Uline Case 22x18x6","5893010","30/11/2048","Good","17.00","cs","17.00","ea"
"10-144-50","60060135","GCC101349","Filler 192ct Impulse","163988","29/06/2048","Good","160.00","cs","160.00","ea"
"10-144-50","60062077","GCC2942","FOL CASE Mxd Bar SHPR","34780","30/11/2048","Good","46.00","cs","46.00","ea"
"10-146-60","50039507","GCC101804","SUB LG VDAY Milk FB Heart","26982","30/10/2048","Good","29.00","cs","29.00","ea"
"10-146-60","50003436","GCC101410","SUB LG PepBrk Snowmn NFPW","128114","29/04/2049","Good","16000.00","cs","16000.00","ea"
